控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中
view_0702af1b9b25fd7f1de5a51d009bf36c.png,0,True,57,2843,False,True,True
view_a5af5ebb87c06b9e8f612da9c70128a0.png,0,True,68,2843,False,True,True
view_1b7713bc6b808e56e533c6512cba249f.png,0,True,132,2843,False,True,True
view_7d4f42222b3a2e60272f7dbe81828f8f.png,0,True,190,2843,False,True,True
view_7a1b78888aaa46a10483e22621f71b9b.png,0,True,242,2843,False,True,False
view_036db19dd3ca2bfe15721c3150990f86.png,0,True,260,2843,False,True,False
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,0,True,271,2843,False,True,False
view_cb998351b18907c11d8dbd43fff35ea5.png,0,True,394,2843,False,True,False
view_9099969ab4a16a477182d4d0a355d0bc.png,0,True,490,2843,False,True,False
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,0,True,495,2843,False,True,False
view_ac28492f1787a95585bf168676e5e07e.png,0,False,570,2843,False,False,False
view_10c848e6af2d7371e7c8063e46ff610c.png,0,False,672,2843,False,False,False
view_03873cb330123484b28437172d028393.png,0,False,703,2843,False,False,False
view_95f67622e5147705d104f32148611b5b.png,0,False,733,2843,False,False,False
view_ba27a1df2a40cc2f63697dfc71f86c79.png,0,False,815,2843,False,False,False
view_52aab8a65f4106aa0022d30a17056599.png,0,False,862,2843,False,False,False
view_69d0f1bb75ac90746cb81b7943ad209e.png,0,False,922,2843,False,False,False
view_b189627e1375d433fe899275dffd499e.png,0,False,1149,2843,False,False,False
view_2fecd352e53d0f934542a5bfa095083a.png,0,False,1231,2843,False,False,False
view_9b02136d8db23bec0831104e52963547.png,0,False,1363,2843,False,False,False
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,0,False,1375,2843,False,False,False
view_6036d6a923e2fc4b26cb85b4324b61fd.png,0,False,1487,2843,False,False,False
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,0,False,1521,2843,False,False,False
view_a32f613e211adbcddeaabd1d5cd7e261.png,0,False,1634,2843,False,False,False
view_a4264a050fbc1523de3338d64580ba79.png,0,False,1797,2843,False,False,False
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,0,False,1861,2843,False,False,False
view_44a2a3cd455836de372ed9701f3e7581.png,0,False,1960,2843,False,False,False
view_8f31eb7e5a23c5234243c915c5f14acf.png,0,False,2130,2843,False,False,False
view_388d4340422c2e5da6110b736456d4b7.png,0,False,2280,2843,False,False,False
view_4d03888ec5acebf863fb8debe4535ffb.png,0,False,2386,2843,False,False,False
view_7721915c5adce47fc5fb59f6d39733c0.png,0,False,2451,2843,False,False,False
view_22f8db485079b90257155acbdfb2cc48.png,0,False,2730,2843,False,False,False
view_453a65384090d62e4aa9582ec6ec5b69.png,80,False,3,7,False,False,False
view_e5781695fe273ec9a262860979d49e00.png,87,False,1,5,False,False,False
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,106,False,1,3,False,False,False
